id,taxid,fasta_dna,fasta_aa
GCF_035917475.1,1291556,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_035917475.1/GCF_035917475.1_ASM3591747v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_035917475.1/GCF_035917475.1_ASM3591747v1_protein.faa
GCF_036010485.1,2903769,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_036010485.1/GCF_036010485.1_ASM3601048v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_036010485.1/GCF_036010485.1_ASM3601048v1_protein.faa
GCF_050544075.1,2774678,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_050544075.1/GCF_050544075.1_Ente_cass_AZ188_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_050544075.1/GCF_050544075.1_Ente_cass_AZ188_protein.faa
GCF_001970625.1,1923684,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001970625.1/GCF_001970625.1_ViralProj362921_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001970625.1/GCF_001970625.1_ViralProj362921_protein.faa
GCF_002028385.1,1964449,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002028385.1/GCF_002028385.1_ASM202838v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002028385.1/GCF_002028385.1_ASM202838v1_protein.faa
GCF_018572185.1,3429625,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018572185.1/GCF_018572185.1_ASM1857218v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018572185.1/GCF_018572185.1_ASM1857218v1_protein.faa
GCF_000898535.1,3052724,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000898535.1/GCF_000898535.1_ViralMultiSegProj173353_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000898535.1/GCF_000898535.1_ViralMultiSegProj173353_protein.faa
GCF_049817085.1,743836,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_049817085.1/GCF_049817085.1_Methylocystis_sp._Strain_SB2_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_049817085.1/GCF_049817085.1_Methylocystis_sp._Strain_SB2_protein.faa
GCF_001960795.1,1923452,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001960795.1/GCF_001960795.1_ViralProj361819_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001960795.1/GCF_001960795.1_ViralProj361819_protein.faa
GCF_003097535.1,2172098,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003097535.1/GCF_003097535.1_ASM309753v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003097535.1/GCF_003097535.1_ASM309753v1_protein.faa
GCF_002829405.1,3431245,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002829405.1/GCF_002829405.1_ASM282940v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002829405.1/GCF_002829405.1_ASM282940v1_protein.faa
GCF_054941095.1,3470102,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_054941095.1/GCF_054941095.1_ASM5494109v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_054941095.1/GCF_054941095.1_ASM5494109v1_protein.faa
GCF_041199995.1,3239303,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041199995.1/GCF_041199995.1_ASM4119999v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041199995.1/GCF_041199995.1_ASM4119999v1_protein.faa
GCF_040409955.1,3029062,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_040409955.1/GCF_040409955.1_ASM4040995v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_040409955.1/GCF_040409955.1_ASM4040995v1_protein.faa
GCF_054672775.1,3233435,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_054672775.1/GCF_054672775.1_ASM5467277v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_054672775.1/GCF_054672775.1_ASM5467277v1_protein.faa
GCF_002755075.1,2843779,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002755075.1/GCF_002755075.1_ASM275507v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002755075.1/GCF_002755075.1_ASM275507v1_protein.faa
GCF_009859595.1,2845087,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_009859595.1/GCF_009859595.1_ASM985959v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_009859595.1/GCF_009859595.1_ASM985959v1_protein.faa
GCF_005892245.1,3431624,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_005892245.1/GCF_005892245.1_ASM589224v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_005892245.1/GCF_005892245.1_ASM589224v1_protein.faa
GCF_002149465.1,1592211,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002149465.1/GCF_002149465.1_ViralProj272394_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002149465.1/GCF_002149465.1_ViralProj272394_protein.faa
GCF_000883295.1,3048273,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000883295.1/GCF_000883295.1_ViralProj32683_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000883295.1/GCF_000883295.1_ViralProj32683_protein.faa
GCF_002037715.1,2955472,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002037715.1/GCF_002037715.1_ViralProj379591_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002037715.1/GCF_002037715.1_ViralProj379591_protein.faa
GCF_000016525.1,2173,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000016525.1/GCF_000016525.1_ASM1652v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000016525.1/GCF_000016525.1_ASM1652v1_protein.faa
GCF_000917195.1,1983738,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000917195.1/GCF_000917195.1_ViralProj240020_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000917195.1/GCF_000917195.1_ViralProj240020_protein.faa
